Source,Target,Source_Name
QDe.133,QDe.092,JEMMAH ANSHORUT TAUHID (JAT)
QDe.156,QDe.137,JUND AL AQSA
QDe.167,QDe.115,JUND AL-KHILAFAH IN TUNISIA (JAK-T)
QDe.155,QDe.115,Jaysh Khalid Ibn al Waleed
QDe.168,QDe.137,KHATIBA AL-TAWHID WAL-JIHAD (KTJ)
QDe.168,QDe.158,KHATIBA AL-TAWHID WAL-JIHAD (KTJ)
QDe.168,QDe.119,KHATIBA AL-TAWHID WAL-JIHAD (KTJ)
QDe.158,QDe.137,KHATIBA IMAM AL-BUKHARI (KIB)
QDe.118,QDi.263,LASHKAR-E-TAYYIBA
QDe.011,QDe.004,LIBYAN ISLAMIC FIGHTING GROUP
CFe.002,CFi.009,LORD’S RESISTANCE ARMY
QDe.012,QDe.004,MAKHTAB AL-KHIDAMAT
QDe.089,QDe.014,MOROCCAN ISLAMIC COMBATANT GROUP
QDe.134,QDe.014,"MOUVEMENT POUR
                                                  L’UNIFICATION ET LE JIHAD EN AFRIQUE DE L’OUEST
                                                  (MUJAO)"
QDe.134,QDi.136,"MOUVEMENT POUR
                                                  L’UNIFICATION ET LE JIHAD EN AFRIQUE DE L’OUEST
                                                  (MUJAO)"
QDe.136,QDi.318,MUHAMMAD JAMAL NETWORK (MJN)
QDe.136,QDe.004,MUHAMMAD JAMAL NETWORK (MJN)
QDe.136,QDi.006,MUHAMMAD JAMAL NETWORK (MJN)
QDe.136,QDe.129,MUHAMMAD JAMAL NETWORK (MJN)
QDe.136,QDe.014,MUHAMMAD JAMAL NETWORK (MJN)
QDe.150,QDe.115,MUJAHIDIN INDONESIAN TIMUR (MIT)
QDe.150,QDe.092,MUJAHIDIN INDONESIAN TIMUR (MIT)
QDe.150,QDe.133,MUJAHIDIN INDONESIAN TIMUR (MIT)
TAe.013,TAi.165,RAHAT LTD.
TAe.013,TAi.013,RAHAT LTD.
QDe.128,QDi.244,RAJAH SOLAIMAN MOVEMENT
QDe.128,QDe.001,RAJAH SOLAIMAN MOVEMENT
QDe.128,QDe.092,RAJAH SOLAIMAN MOVEMENT
QDe.070,QDi.058,REVIVAL OF ISLAMIC HERITAGE SOCIETY
QDe.070,QDe.069,REVIVAL OF ISLAMIC HERITAGE SOCIETY
QDe.100,QDe.099,RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM)
QDe.100,QDe.101,RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM)
QDe.100,QDe.131,RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM)
TAe.011,TAi.166,ROSHAN MONEY EXCHANGE
QDe.154,QDe.115,SELSELAT AL-THAHAB
QDe.101,QDe.099,SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR)
QDe.101,QDe.100,SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR)
QDe.160,QDe.132,TARIQ GIDAR GROUP (TGG)
QDe.132,QDi.352,TEHRIK-E TALIBAN PAKISTAN (TTP)
QDe.148,QDe.115,THE ARMY OF EMIGRANTS AND SUPPORTERS
QDe.148,QDe.137,THE ARMY OF EMIGRANTS AND SUPPORTERS
QDe.014,QDi.232,THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB
QDe.090,QDe.014,TUNISIAN COMBATANT GROUP
QDe.068,QDi.055,UMMAH TAMEER E-NAU (UTN)
QDe.068,QDi.054,UMMAH TAMEER E-NAU (UTN)
QDe.068,QDi.056,UMMAH TAMEER E-NAU (UTN)
QDe.015,QDe.004,WAFA HUMANITARIAN ORGANIZATION
