Source,Target,Name
QDi.282,QDi.006,QASIM MOHAMED MAHDI
QDi.369,QDe.115,MU’TASSIM YAHYA ‘ALI
QDi.369,QDe.129,MU’TASSIM YAHYA ‘ALI
QDi.415,QDe.134,ADNAN ABOU WALID AL-SAHRAOUI
QDi.415,QDe.141,ADNAN ABOU WALID AL-SAHRAOUI
QDi.415,QDe.115,ADNAN ABOU WALID AL-SAHRAOUI
QDi.381,QDe.004,HAMAD AWAD DAHI SARHAN
QDi.381,QDe.137,HAMAD AWAD DAHI SARHAN
QDi.384,QDe.115,ALI MUSA AL-SHAWAKH 
QDi.385,QDe.115,HASAN AL-SALAHAYN SALIH
QDi.329,QDe.004,AHMED ABDULLAH SALEH AL-KHAZMARI
QDi.392,QDe.115,FAYSAL AHMAD BIN ALI
QDi.401,QDe.129,GHALIB ABDULLAH AL-ZAIDI
QDi.006,QDe.004,AIMAN MUHAMMED RABI
QDi.006,QDe.003,AIMAN MUHAMMED RABI
QDi.326,QDe.115,HAMID HAMAD HAMID
QDi.326,QDe.137,HAMID HAMAD HAMID
QDi.326,QDi.299,HAMID HAMAD HAMID
QDi.326,QDi.317,HAMID HAMAD HAMID
QDi.335,QDe.004,‘ABD AL-RAHMAN KHALAF ‘UBAYD JUDAY’
QDi.335,QDe.115,‘ABD AL-RAHMAN KHALAF ‘UBAYD JUDAY’
QDi.299,QDe.115,IBRAHIM AWWAD IBRAHIM
QDi.296,QDe.096,MATI UR-REHMAN ALI MUHAMMAD 
QDi.296,QDe.130,MATI UR-REHMAN ALI MUHAMMAD 
QDi.370,QDe.115,TARAD MOHAMMAD Alnori Alfares
QDi.422,QDe.019,MOHAMMED MASOOD AZHAR
QDi.422,QDe.008,MOHAMMED MASOOD AZHAR
QDi.152,QDe.014,SAIFI AMMARI 
QDi.323,QDe.137,SAID ARIF 
QDi.265,QDe.118,HAJI MUHAMMAD ASHRAF
QDi.364,QDe.115,ISLAM SEIT-UMAROVICH ATABIEV
QDi.042,QDe.002,HASSAN DAHIR AWEYS
QDi.248,QDe.128,RICARDO PEREZ AYERAS
QDi.371,QDe.004,ABD AL-BASET AZZOUZ 
QDi.371,QDi.006,ABD AL-BASET AZZOUZ 
QDi.404,QDe.115,Muhammad Bahrum Naim
QDi.305,QDi.217,ABDUL ROSYID RIDHO
QDi.305,QDi.293,ABDUL ROSYID RIDHO
QDi.305,QDe.133,ABDUL ROSYID RIDHO
QDi.305,QDe.092,ABDUL ROSYID RIDHO
QDi.217,QDe.133,ABU BAKAR BA'ASYIR 
QDi.293,QDi.217,ABDUL RAHIM BA'AYSIR 
QDi.080,QDe.004,SAID BAHAJI 
CDi.036,CDe.001,SEKA BALUKU 
CDi.036,CDi.015,SEKA BALUKU 
